Entity Registration Date,Entity Profile UEN,Entity Name,Primary Section Description,Description,Website,Industry
2020-01-14,202001898D,WHITE HOUSE CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"GENERAL PROVISIONS RELATING TO FINANCING AND INVESTMENT","","OTHER HOLDING COMPANIES"
2020-01-14,202001902W,LT PAYMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRANSACTION/PAYMENT PROCESSING SERVICES","","TRANSACTION/PAYMENT PROCESSING SERVICES"
2020-01-14,202001907M,VN FORTUNE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001913C,J & K IT HOUSE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001916N,GLOBAL QUARTZ PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT IN SINGAPORE AS WELL AS IN OTHER COUNTRIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001918R,CULINARYON S.E.A. PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001919G,ASIA BREWERIES LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-14,202001921M,CHAI CHEE 36 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER INVESTMENT HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001922D,SIAM BREWERIES LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-14,202001932R,PAYACTIV INTERNATIONAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRANSACTION/PAYMENT PROCESSING SERVICES","","TRANSACTION/PAYMENT PROCESSING SERVICES"
2020-01-14,202001933G,FENICS SECURITIES (SINGAPORE) PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"PROVIDE FINANCIAL SERVICES (ARRANGING TRADES ON ELECTRONIC TRADING PLATFORM)","","OTHER FINANCIAL SERVICE ACTIVITIES, EXCEPT INSURANCE AND PENSION FUNDING ACTIVITIES N.E.C."
2020-01-14,202001951K,SOUTH EAST INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001955N,FP8 SERVICES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRADITIONAL/LONG-ONLY ASSET/PORTFOLIO MANAGEMENT","","TRADITIONAL/LONG-ONLY ASSET/PORTFOLIO MANAGEMENT"
2020-01-14,202001956E,KEJORA PARTNERS GLOBAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001958G,IHANISAN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001973W,META GOLD PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"FAMILY INVESTMENTS","","SINGLE/MULTIPLE FAMILY OFFICES ACTIVITIES (E.G. MANAGING INVESTMENTS AND TRUSTS FOR A SINGLE OR MULTIPLE FAMILIES)"
2020-01-15,202001974H,DOO CAPITAL MARKET SG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"STOCK, SHARE AND BOND BROKERS AND DEALERS","","STOCK, SHARE AND BOND BROKERS AND DEALERS"
2020-01-15,202001981H,THE CEVENNES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202001994N,YOUNG FOREST PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202001995E,A&D MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"SINGLE/MULTIPLE FAMILY OFFICES ACTIVITIES (E.G. MANAGING INVESTMENTS AND TRUSTS FOR A SINGLE OR MULTIPLE FAMILIES)","","SINGLE/MULTIPLE FAMILY OFFICES ACTIVITIES (E.G. MANAGING INVESTMENTS AND TRUSTS FOR A SINGLE OR MULTIPLE FAMILIES)"
2020-01-15,202001996R,THE CORE TRUST COMPANY (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRUSTEE, FIDUCIARY AND CUSTODY SERVICES FIRMS (INCLUDING NOMINEE COMPANIES, TRUSTEES AND REIT TRUSTEES)","","TRUSTEE, FIDUCIARY AND CUSTODY SERVICES FIRMS (INCLUDING NOMINEE COMPANIES, TRUSTEES AND REIT TRUSTEES)"
2020-01-15,202001998W,TEMEITE GLOBAL  HOLDING CO PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002005R,PROSPERIAN CAPITAL INTERNATIONAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002009Z,PLANTAIN INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002015H,ALPVEN (ASSET MANAGEMENT) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRADITIONAL/LONG-ONLY ASSET/PORTFOLIO MANAGEMENT","","TRADITIONAL/LONG-ONLY ASSET/PORTFOLIO MANAGEMENT"
2020-01-15,202002017K,ZHONGLE INTERNATIONAL HOLDINGS SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002019M,KAMRON SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"PORTFOLIO INVESTMENTS AND CASH DEPOSIT","","OTHER HOLDING COMPANIES"
2020-01-15,202002022H,BRONZEFIN TECHNOLOGY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002025C,AUSPICE ASSET MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRADITIONAL/LONG-ONLY ASSET/PORTFOLIO MANAGEMENT","","TRADITIONAL/LONG-ONLY ASSET/PORTFOLIO MANAGEMENT"
2020-01-15,202002068E,LAMTA EDUCATION TECHNOLOGY GROUP PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002069R,ISQ ASIA INFRASTRUCTURE INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002074N,PREMIUM HORIZON PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002077G,VULPES EARLY STAGE SEED FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002077G,VULPES SPECIAL OPPORTUNITIES FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002081N,DIAMOND HORIZON PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002089C,RECO CORIANDER PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-15,202002094Z,PROSPEROUS HORIZON PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"FUND MANAGEMENT ACTIVITIES N.E.C.","","FUND MANAGEMENT ACTIVITIES N.E.C."
2020-01-15,202002097M,RECO TURMERIC PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-12-03,202002111Z,YES FULL CIRCLE SOLUTIONS HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-15,202002112K,CHANG CHENG HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002112K,DK126 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002119G,HDG INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-15,202002129Z,DILIGENT SHINE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-15,202002148N,THE TROFEO PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES (GENERAL)","","MANAGEMENT CONSULTANCY SERVICES (GENERAL)"
2020-01-16,202002158G,VINTAGE LABS WINE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRADITIONAL/LONG-ONLY ASSET/PORTFOLIO MANAGEMENT","","TRADITIONAL/LONG-ONLY ASSET/PORTFOLIO MANAGEMENT"
2020-01-16,202002162N,WECREATE CAPITAL VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"SINGLE/MULTIPLE FAMILY OFFICES ACTIVITIES (E.G. MANAGING INVESTMENTS AND TRUSTS FOR A SINGLE OR MULTIPLE FAMILIES)","","SINGLE/MULTIPLE FAMILY OFFICES ACTIVITIES (E.G. MANAGING INVESTMENTS AND TRUSTS FOR A SINGLE OR MULTIPLE FAMILIES)"
2020-01-16,202002163E,WECREATE GREAT VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING & RELATED ACTIVITIES","","OTHER HOLDING COMPANIES"
